               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.037493,            0.056533,            0.017204,             0.82853,             0.18178,              0.2213,             0.12161,                 nan,                 nan,                 nan,            0.004456,            0.004456,            0.004456
                  58,            0.037011,            0.050906,            0.016777,             0.80926,             0.18253,             0.21206,             0.12247,                 nan,                 nan,                 nan,            0.004357,            0.004357,            0.004357
                  59,            0.035585,             0.04933,            0.016511,             0.78217,             0.19939,             0.21724,             0.12179,                 nan,                 nan,                 nan,            0.004258,            0.004258,            0.004258
                  60,             0.03794,            0.057837,            0.017388,             0.82117,             0.19042,             0.21612,             0.12128,                 nan,                 nan,                 nan,            0.004159,            0.004159,            0.004159
                  61,            0.036746,            0.052563,            0.017136,             0.79043,             0.19551,             0.21247,             0.12045,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  62,            0.035984,            0.051412,            0.018049,             0.80471,              0.1945,              0.2188,             0.12226,                 nan,                 nan,                 nan,            0.003961,            0.003961,            0.003961
                  63,            0.034727,            0.049991,            0.016464,             0.81553,             0.19253,             0.22131,             0.12625,                 nan,                 nan,                 nan,            0.003862,            0.003862,            0.003862
                  64,            0.036345,            0.052983,            0.016307,             0.78982,             0.18952,             0.21225,             0.12376,                 nan,                 nan,                 nan,            0.003763,            0.003763,            0.003763
                  65,            0.035353,            0.052241,            0.016257,             0.81029,             0.19038,             0.22159,             0.12166,                 nan,                 nan,                 nan,            0.003664,            0.003664,            0.003664
                  66,            0.037316,            0.056097,             0.01696,             0.86413,              0.1826,             0.22677,              0.1265,                 nan,                 nan,                 nan,            0.003565,            0.003565,            0.003565
                  67,            0.036487,            0.055613,            0.016244,             0.82107,             0.19316,             0.23159,             0.13101,                 nan,                 nan,                 nan,            0.003466,            0.003466,            0.003466
                  68,            0.035648,            0.050285,             0.01546,             0.81085,             0.19331,             0.23086,             0.13365,                 nan,                 nan,                 nan,            0.003367,            0.003367,            0.003367
                  69,            0.036153,            0.058032,            0.015253,             0.81871,             0.20505,             0.23411,             0.13604,                 nan,                 nan,                 nan,            0.003268,            0.003268,            0.003268
                  70,            0.034867,            0.053956,            0.014622,             0.83488,             0.20084,             0.23908,             0.14061,                 nan,                 nan,                 nan,            0.003169,            0.003169,            0.003169
                  71,            0.034874,            0.056001,            0.013618,             0.84645,             0.19402,             0.23769,             0.13746,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                  72,            0.033855,            0.055097,            0.014216,             0.75086,             0.20724,             0.23505,             0.13924,                 nan,                 nan,                 nan,            0.002971,            0.002971,            0.002971
                  73,            0.035155,            0.052461,             0.01718,              0.7574,             0.20298,             0.23703,             0.13689,                 nan,                 nan,                 nan,            0.002872,            0.002872,            0.002872
                  74,            0.034398,            0.053244,            0.015773,               0.739,             0.21602,             0.23364,              0.1395,                 nan,                 nan,                 nan,            0.002773,            0.002773,            0.002773
                  75,            0.036824,            0.059367,            0.015707,             0.76759,             0.21324,             0.23235,             0.13906,                 nan,                 nan,                 nan,            0.002674,            0.002674,            0.002674
                  76,            0.032951,            0.049078,            0.015386,              0.8132,             0.20248,             0.22903,             0.13474,                 nan,                 nan,                 nan,            0.002575,            0.002575,            0.002575
                  77,            0.034366,            0.051659,            0.015731,             0.80435,             0.20855,             0.23303,             0.13638,                 nan,                 nan,                 nan,            0.002476,            0.002476,            0.002476
                  78,             0.03197,            0.047653,            0.014626,             0.83484,             0.20624,             0.23734,              0.1406,                 nan,                 nan,                 nan,            0.002377,            0.002377,            0.002377
                  79,            0.031834,            0.044874,            0.014206,             0.85397,             0.19426,             0.24177,             0.14415,                 nan,                 nan,                 nan,            0.002278,            0.002278,            0.002278
                  80,            0.031722,              0.0461,            0.013899,             0.81947,              0.1958,             0.23965,             0.13964,                 nan,                 nan,                 nan,            0.002179,            0.002179,            0.002179
                  81,            0.033265,            0.050642,            0.014621,             0.79515,             0.20473,             0.22422,             0.13503,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  82,            0.033756,            0.050626,            0.014752,              0.7987,              0.2033,             0.22948,             0.13829,                 nan,                 nan,                 nan,            0.001981,            0.001981,            0.001981
                  83,            0.032372,            0.051373,            0.014469,             0.87766,              0.1967,             0.24122,             0.13943,                 nan,                 nan,                 nan,            0.001882,            0.001882,            0.001882
                  84,            0.032281,            0.050767,            0.012789,             0.87384,             0.19738,             0.23925,             0.14523,                 nan,                 nan,                 nan,            0.001783,            0.001783,            0.001783
                  85,            0.034075,            0.048571,            0.014278,             0.87328,              0.1955,             0.23858,             0.14231,                 nan,                 nan,                 nan,            0.001684,            0.001684,            0.001684
                  86,            0.033787,            0.048882,            0.015777,             0.87725,             0.19511,             0.24028,             0.14623,                 nan,                 nan,                 nan,            0.001585,            0.001585,            0.001585
                  87,            0.033536,            0.055135,            0.013511,             0.79388,             0.21024,             0.23402,               0.143,                 nan,                 nan,                 nan,            0.001486,            0.001486,            0.001486
                  88,            0.032906,             0.05144,            0.013553,             0.82551,             0.19842,             0.23496,             0.14305,                 nan,                 nan,                 nan,            0.001387,            0.001387,            0.001387
                  89,             0.03286,            0.052746,            0.013763,             0.80438,             0.20576,             0.23701,             0.14426,                 nan,                 nan,                 nan,            0.001288,            0.001288,            0.001288
                  90,            0.030948,            0.048326,            0.013029,             0.82015,             0.20784,              0.2413,             0.14911,                 nan,                 nan,                 nan,            0.001189,            0.001189,            0.001189
                  91,            0.032685,            0.052324,            0.014787,              0.8043,             0.21132,             0.24125,             0.14506,                 nan,                 nan,                 nan,             0.00109,             0.00109,             0.00109
                  92,            0.031705,            0.050228,            0.012818,             0.84329,             0.20287,             0.24216,             0.15117,                 nan,                 nan,                 nan,            0.000991,            0.000991,            0.000991
                  93,            0.031968,            0.048594,            0.014854,             0.83037,             0.20069,             0.24388,             0.14851,                 nan,                 nan,                 nan,            0.000892,            0.000892,            0.000892
                  94,            0.031056,            0.044904,            0.013671,             0.86155,             0.19705,             0.24184,             0.14841,                 nan,                 nan,                 nan,            0.000793,            0.000793,            0.000793
                  95,            0.030804,            0.044871,             0.01369,             0.84715,             0.20066,             0.24119,             0.14869,                 nan,                 nan,                 nan,            0.000694,            0.000694,            0.000694
                  96,            0.031074,            0.046104,            0.013629,               0.834,             0.19491,             0.23804,             0.14519,                 nan,                 nan,                 nan,            0.000595,            0.000595,            0.000595
                  97,            0.031062,            0.048306,            0.012054,             0.86538,             0.19509,             0.24035,              0.1501,                 nan,                 nan,                 nan,            0.000496,            0.000496,            0.000496
                  98,            0.030663,            0.046814,             0.01095,             0.81821,             0.19976,             0.23081,             0.14452,                 nan,                 nan,                 nan,            0.000397,            0.000397,            0.000397
                  99,            0.032689,            0.049317,            0.013292,             0.81995,             0.19993,             0.23127,             0.14585,                 nan,                 nan,                 nan,            0.000298,            0.000298,            0.000298
